Institution: https://www.chronicle.com/interactives/faculty-diversity,Full-time faculty,Women,American indian / Alaska native,Asian,Black,Hispanic,Native hawaiian / pacific islander,White,Two or more races,Unknown,Non-resident foreign,total minority
Reed CollegeBaccalaureate | OR,169,45.00%,0.60%,6.50%,3.00%,4.10%,0.00%,74.60%,0.00%,0.60%,10.70%,14.20%
Montgomery County Community CollegeAssociate | PA,169,61.50%,0.60%,3.50%,10.10%,2.40%,0.00%,82.80%,0.60%,0.00%,0.00%,17.20%
Broome Community CollegeAssociate | NY,169,54.40%,0.60%,1.80%,1.20%,2.40%,0.00%,94.10%,0.00%,0.00%,0.00%,5.90%
Lake Erie College of Osteopathic MedicineSpecial-Focus | PA,169,41.40%,0.00%,14.80%,5.30%,3.00%,0.00%,75.10%,1.80%,0.00%,0.00%,24.90%
Fairmont State UniversityMaster's | WV,168,48.80%,0.00%,1.20%,1.80%,1.20%,0.00%,93.50%,0.00%,0.00%,2.40%,4.20%
Illinois Central CollegeAssociate | IL,168,53.00%,0.00%,3.60%,2.40%,2.40%,0.00%,89.30%,2.40%,0.00%,0.00%,10.70%
Capital UniversityMaster's | OH,168,50.00%,1.20%,4.20%,2.40%,2.40%,0.00%,88.70%,0.00%,0.00%,1.20%,10.10%
Philadelphia College of Osteopathic MedicineSpecial-Focus | PA,168,46.40%,0.00%,17.90%,8.90%,1.20%,0.00%,72.00%,0.00%,0.00%,0.00%,28.00%
Marymount UniversityMaster's | VA,167,72.50%,0.60%,4.20%,3.00%,3.60%,0.60%,80.80%,1.80%,4.80%,0.60%,13.80%
Southern Arkansas UniversityMaster's | AR,167,47.30%,0.00%,8.40%,7.20%,0.60%,0.00%,83.20%,0.00%,0.00%,0.60%,16.20%
Antelope Valley CollegeAssociate | CA,167,44.30%,0.60%,8.40%,7.20%,9.00%,0.00%,68.30%,5.40%,1.20%,0.00%,30.50%
Fort Lewis CollegeBaccalaureate | CO,167,50.30%,1.80%,2.40%,0.60%,5.40%,0.00%,82.60%,1.20%,6.00%,0.00%,11.40%
Dalton State CollegeBaccalaureate | GA,167,53.90%,0.00%,4.20%,3.60%,1.20%,0.00%,88.60%,0.00%,1.20%,1.20%,9.00%
State University of New York Empire State CollegeMaster's | NY,167,65.30%,0.60%,4.80%,9.00%,2.40%,0.60%,79.00%,1.80%,0.00%,1.80%,19.20%
Gardner-Webb UniversityDoctoral | NC,167,53.30%,0.60%,1.20%,6.60%,1.80%,0.60%,89.20%,0.00%,0.00%,0.00%,10.80%
Highline Community CollegeAssociate | WA,166,60.20%,0.00%,15.70%,10.80%,6.00%,0.60%,66.90%,0.00%,0.00%,0.00%,33.10%
Stanbridge CollegeSpecial-Focus | CA,166,70.50%,3.60%,8.40%,6.60%,13.90%,5.40%,45.20%,0.00%,16.90%,0.00%,38.00%
Walters State Community CollegeAssociate | TN,166,57.80%,0.00%,1.20%,1.80%,0.60%,0.60%,94.00%,0.60%,0.60%,0.60%,4.80%
San Joaquin Valley College at VisaliaAssociate | CA,165,69.70%,0.60%,7.30%,4.90%,26.70%,3.00%,41.20%,6.10%,10.30%,0.00%,48.50%
University of Mary Hardin-BaylorMaster's | TX,164,56.70%,0.00%,4.30%,3.70%,1.80%,0.60%,84.80%,1.80%,2.40%,0.60%,12.20%
Southern New Hampshire UniversityMaster's | NH,164,48.20%,0.00%,5.50%,4.30%,0.00%,0.00%,70.70%,0.60%,18.30%,0.60%,10.40%
Fairleigh Dickinson University College at Florham (N.J.)Master's | NJ,164,49.40%,0.00%,16.50%,4.30%,1.80%,0.00%,75.60%,0.60%,1.20%,0.00%,23.20%
Eastern New Mexico UniversityMaster's | NM,164,46.30%,0.00%,1.80%,1.20%,6.70%,0.00%,73.80%,0.60%,3.70%,12.20%,10.40%
Henry Ford Community CollegeAssociate | MI,164,53.70%,1.20%,3.00%,9.20%,0.60%,0.00%,83.50%,0.60%,0.00%,1.80%,14.60%
Washtenaw Community CollegeAssociate | MI,164,51.80%,0.00%,4.30%,12.80%,1.20%,0.00%,78.70%,3.00%,0.00%,0.00%,21.30%
Maryland Institute College of ArtSpecial-Focus | MD,163,55.80%,0.00%,6.80%,5.50%,1.80%,0.00%,70.50%,1.20%,12.30%,1.80%,15.30%
Columbia Southern UniversityMaster's | AL,163,42.90%,0.00%,1.80%,11.00%,1.20%,0.00%,72.40%,1.20%,12.30%,0.00%,15.30%
University of Arkansas at MonticelloMaster's | AR,163,47.20%,0.00%,3.70%,4.90%,0.60%,0.00%,90.20%,0.00%,0.60%,0.00%,9.20%
College of the DesertAssociate | CA,163,55.80%,1.80%,4.90%,3.70%,21.50%,0.00%,57.70%,3.70%,2.50%,4.30%,35.60%
Central Carolina Community CollegeAssociate | NC,163,58.30%,0.00%,1.20%,10.40%,1.20%,0.00%,85.90%,0.00%,1.20%,0.00%,12.90%
Rowan-Cabarrus Community CollegeAssociate | NC,163,66.90%,0.60%,1.80%,8.60%,1.80%,0.00%,87.10%,0.00%,0.00%,0.00%,12.90%
Trinity Valley Community CollegeAssociate | TX,163,45.40%,0.00%,0.00%,7.40%,2.50%,0.00%,90.20%,0.00%,0.00%,0.00%,9.80%
Otterbein UniversityMaster's | OH,162,56.80%,0.00%,3.10%,3.70%,1.20%,0.60%,82.10%,0.00%,5.60%,3.70%,8.60%
Normandale Community CollegeAssociate | MN,162,53.70%,0.00%,4.30%,2.50%,4.30%,0.00%,87.60%,0.00%,0.00%,1.20%,11.10%
Berry CollegeMaster's | GA,162,46.90%,0.00%,3.70%,2.50%,3.70%,0.60%,88.30%,0.00%,0.00%,1.20%,10.50%
James H. Faulkner State Community CollegeAssociate | AL,161,54.70%,0.60%,0.60%,13.00%,0.60%,0.00%,83.90%,0.00%,1.20%,0.00%,14.90%
Samuel Merritt UniversitySpecial-Focus | CA,161,77.60%,0.00%,9.90%,5.60%,7.40%,0.00%,75.20%,1.90%,0.00%,0.00%,24.80%
University of Wisconsin-ParksideBaccalaureate | WI,161,48.40%,0.60%,14.90%,4.30%,5.00%,0.00%,72.00%,0.00%,0.00%,3.10%,24.80%
University of Cincinnati-Blue Ash CollegeAssociate | OH,161,64.00%,1.20%,5.00%,4.30%,3.10%,0.00%,80.80%,2.50%,0.00%,3.10%,16.20%
University of MaryMaster's | ND,160,55.00%,0.00%,1.30%,0.00%,1.30%,0.60%,89.40%,0.60%,3.10%,3.80%,3.80%
University of the Sciences in PhiladelphiaSpecial-Focus | PA,160,53.80%,0.00%,13.80%,4.40%,1.30%,0.00%,78.80%,0.00%,1.90%,0.00%,19.40%
North Greenville UniversityMaster's | SC,160,42.50%,0.00%,2.50%,3.10%,0.60%,0.00%,93.80%,0.00%,0.00%,0.00%,6.30%
National-Louis UniversityDoctoral | IL,160,63.70%,0.00%,5.00%,10.60%,2.50%,0.00%,78.80%,1.90%,0.00%,1.30%,20.00%
Kansas City Kansas Community CollegeAssociate | KS,160,48.80%,0.60%,3.10%,13.10%,3.80%,0.60%,69.40%,3.10%,6.30%,0.00%,24.40%
Norwich UniversityMaster's | VT,160,40.60%,0.00%,4.40%,0.60%,1.90%,0.00%,88.80%,1.30%,1.90%,1.30%,8.10%
Westchester Community CollegeAssociate | NY,160,54.40%,0.00%,6.30%,6.90%,5.60%,0.00%,80.60%,0.60%,0.00%,0.00%,19.40%
Methodist UniversityMaster's | NC,160,43.80%,0.60%,7.50%,6.30%,1.30%,0.00%,82.50%,0.00%,1.90%,0.00%,15.60%
Concordia College at MoorheadBaccalaureate | MN,159,46.50%,0.00%,3.10%,1.90%,3.80%,0.00%,88.70%,0.00%,0.00%,2.50%,8.80%
County College of MorrisAssociate | NJ,159,50.90%,0.60%,8.20%,7.50%,5.70%,0.00%,78.00%,0.00%,0.00%,0.00%,22.00%
City University of New York Medgar Evers CollegeBaccalaureate | NY,159,48.40%,0.00%,9.40%,64.10%,6.30%,0.00%,13.80%,3.10%,0.00%,3.10%,83.00%
Niagara UniversityMaster's | NY,159,40.90%,0.00%,6.30%,4.40%,3.80%,0.60%,78.00%,0.00%,0.00%,6.90%,15.10%
Cincinnati State Technical and Community CollegeAssociate | OH,159,59.10%,0.60%,2.50%,13.20%,1.30%,0.00%,82.40%,0.00%,0.00%,0.00%,17.60%
University of South Carolina at AikenBaccalaureate | SC,159,50.30%,0.00%,6.30%,6.90%,1.90%,0.00%,80.50%,3.80%,0.00%,0.60%,18.90%
Green River Community CollegeAssociate | WA,159,45.30%,1.30%,8.20%,3.10%,4.40%,0.60%,79.90%,0.60%,1.90%,0.00%,18.20%
South Louisiana Community CollegeAssociate | LA,159,45.90%,1.30%,3.10%,19.50%,1.30%,0.00%,74.20%,0.00%,0.00%,0.60%,25.20%
University of Hawaii Leeward Community CollegeAssociate | HI,159,55.40%,0.00%,48.40%,0.60%,5.00%,8.80%,32.10%,4.40%,0.00%,0.60%,67.30%
Parkland CollegeAssociate | IL,159,51.60%,0.00%,4.40%,3.10%,3.10%,0.00%,81.80%,5.00%,2.50%,0.00%,15.70%
Marian University (Ind.)Master's | IN,159,56.00%,0.00%,5.70%,2.50%,1.30%,0.00%,86.80%,3.80%,0.00%,0.00%,13.20%
Wentworth Institute of TechnologyMaster's | MA,159,28.90%,0.00%,14.50%,3.10%,3.80%,0.00%,67.90%,1.90%,8.20%,0.60%,23.30%
Dominican UniversityMaster's | IL,158,60.10%,0.00%,10.10%,6.30%,9.50%,0.00%,71.50%,1.30%,1.30%,0.00%,27.20%
Luther CollegeBaccalaureate | IA,158,48.70%,0.00%,1.90%,3.20%,5.70%,0.00%,89.20%,0.00%,0.00%,0.00%,10.80%
Bemidji State UniversityMaster's | MN,158,47.50%,5.70%,4.40%,0.60%,2.50%,0.60%,82.90%,0.60%,0.00%,2.50%,14.60%
Truckee Meadows Community CollegeAssociate | NV,158,51.90%,0.00%,5.70%,1.30%,5.70%,1.30%,84.80%,0.60%,0.60%,0.00%,14.60%
College of Western IdahoAssociate | ID,158,49.40%,0.00%,1.90%,0.60%,1.90%,0.60%,93.00%,0.00%,1.90%,0.00%,5.10%
Polk State CollegeBaccalaureate | FL,158,53.20%,0.00%,1.30%,8.20%,4.40%,0.00%,85.40%,0.00%,0.60%,0.00%,13.90%
Seattle Central Community CollegeAssociate | WA,158,54.40%,0.60%,13.30%,9.50%,5.70%,0.00%,65.80%,1.90%,3.20%,0.00%,31.00%
NorthWest Arkansas Community CollegeAssociate | AR,158,59.50%,1.30%,1.30%,1.90%,1.90%,0.00%,88.60%,0.00%,3.80%,1.30%,6.30%
Haverford CollegeBaccalaureate | PA,158,51.90%,0.00%,9.50%,5.10%,5.70%,0.00%,72.80%,0.00%,2.50%,4.40%,20.30%
Minot State UniversityMaster's | ND,157,56.70%,0.00%,1.90%,1.30%,1.30%,0.00%,87.90%,0.00%,6.40%,1.30%,4.50%
Arcadia UniversityMaster's | PA,157,61.80%,0.00%,8.90%,6.40%,3.80%,0.00%,79.60%,1.30%,0.00%,0.00%,20.40%
Horry-Georgetown Technical CollegeAssociate | SC,157,49.70%,0.00%,1.30%,6.40%,1.30%,0.60%,89.20%,0.60%,0.00%,0.60%,10.20%
North Idaho CollegeAssociate | ID,157,46.50%,0.60%,0.60%,0.00%,3.80%,0.00%,92.40%,0.00%,2.50%,0.00%,5.10%
Elmhurst CollegeMaster's | IL,157,61.20%,0.00%,6.40%,3.20%,3.20%,0.00%,87.30%,0.00%,0.00%,0.00%,12.70%
Delta State UniversityMaster's | MS,157,59.20%,0.00%,2.50%,12.70%,3.80%,0.00%,75.80%,0.00%,0.60%,4.50%,19.10%
Itawamba Community CollegeAssociate | MS,157,68.20%,0.00%,0.00%,3.80%,0.60%,0.00%,95.50%,0.00%,0.00%,0.00%,4.50%
ASA Institute of Business and Computer TechnologyAssociate | NY,157,54.10%,0.00%,21.70%,18.50%,15.90%,0.00%,41.40%,1.30%,1.30%,0.00%,57.30%
Los Medanos CollegeAssociate | CA,157,50.30%,0.60%,10.80%,11.50%,15.30%,0.00%,52.90%,1.90%,7.00%,0.00%,40.10%
California Institute of the ArtsSpecial-Focus | CA,156,43.60%,0.60%,9.00%,7.00%,4.50%,0.00%,73.70%,0.00%,0.00%,5.10%,21.10%
Pasco-Hernando Community CollegeAssociate | FL,156,62.80%,0.00%,0.60%,7.00%,5.80%,0.60%,84.60%,1.30%,0.00%,0.00%,15.40%
Mt. Hood Community CollegeAssociate | OR,156,52.60%,1.30%,2.60%,1.30%,5.10%,0.00%,81.40%,0.60%,7.70%,0.00%,10.90%
University of St. Thomas (Tex.)Master's | TX,156,46.20%,0.00%,7.70%,7.70%,10.90%,0.00%,62.80%,1.90%,2.60%,6.40%,28.20%
Maryville University of Saint LouisDoctoral | MO,156,61.50%,0.00%,7.00%,6.40%,1.30%,0.00%,78.80%,0.00%,0.00%,6.40%,14.70%
Saint Anselm CollegeBaccalaureate | NH,155,55.50%,0.00%,3.20%,0.00%,6.50%,0.00%,87.10%,1.30%,0.70%,1.30%,11.00%
Indiana University-NorthwestMaster's | IN,155,52.30%,0.00%,10.30%,10.30%,5.80%,0.00%,71.60%,1.90%,0.00%,0.00%,28.40%
Edgewood CollegeDoctoral | WI,155,63.90%,0.70%,5.20%,1.90%,3.20%,0.00%,85.80%,0.70%,1.30%,1.30%,11.60%
Southern Oregon UniversityMaster's | OR,155,47.10%,0.70%,3.20%,0.00%,4.50%,0.70%,81.30%,0.00%,5.20%,4.50%,9.00%
Anderson University (S.C.)Master's | SC,155,57.40%,0.00%,0.70%,7.10%,1.30%,0.00%,89.70%,0.70%,0.70%,0.00%,9.70%
Oral Roberts UniversityMaster's | OK,154,41.60%,0.70%,6.50%,5.20%,2.60%,0.00%,77.90%,3.30%,2.60%,1.30%,18.20%
Houston Baptist UniversityMaster's | TX,154,43.50%,0.70%,2.60%,7.80%,6.50%,0.00%,75.30%,1.90%,2.60%,2.60%,19.50%
Phoenix CollegeAssociate | AZ,154,59.70%,3.30%,4.50%,3.90%,13.00%,0.00%,73.40%,0.70%,1.30%,0.00%,25.30%
University of Arkansas at Pine BluffBaccalaureate | AR,154,41.60%,0.00%,22.10%,55.20%,1.30%,0.00%,20.80%,0.70%,0.00%,0.00%,79.20%
Abraham Baldwin Agricultural CollegeBaccalaureate | GA,154,49.40%,0.00%,5.80%,6.50%,1.90%,0.00%,83.10%,0.00%,1.90%,0.70%,14.30%
Morehouse CollegeBaccalaureate | GA,154,38.30%,0.70%,6.50%,70.80%,5.20%,0.00%,16.20%,0.70%,0.00%,0.00%,83.80%
Westminster College (Utah)Master's | UT,154,50.60%,0.70%,3.90%,2.60%,5.20%,0.00%,73.40%,1.90%,11.70%,0.70%,14.30%
North Central Texas CollegeAssociate | TX,153,60.80%,0.70%,2.00%,3.90%,7.80%,0.00%,81.70%,2.00%,2.00%,0.00%,16.30%
Relay Graduate School of EducationSpecial-Focus | NY,153,79.70%,0.00%,5.20%,28.80%,9.20%,0.70%,44.40%,5.90%,5.90%,0.00%,49.70%
Montana State University at BillingsMaster's | MT,153,46.40%,2.60%,5.20%,0.70%,2.60%,0.70%,87.60%,0.00%,0.70%,0.00%,11.80%
Century CollegeAssociate | MN,152,53.90%,0.00%,4.00%,4.60%,1.30%,0.00%,86.20%,2.00%,0.00%,2.00%,11.80%
Baton Rouge Community CollegeAssociate | LA,152,53.30%,0.70%,1.30%,35.50%,1.30%,0.00%,55.90%,0.00%,0.00%,5.30%,38.80%
Scottsdale Community CollegeAssociate | AZ,152,49.30%,2.00%,2.60%,2.00%,4.60%,0.70%,86.80%,0.70%,0.70%,0.00%,12.50%
Eckerd CollegeBaccalaureate | FL,152,46.70%,0.00%,4.00%,0.70%,5.30%,0.00%,81.60%,2.00%,2.00%,4.60%,11.80%
Millikin UniversityBaccalaureate | IL,152,52.00%,0.00%,3.30%,2.00%,2.00%,0.00%,90.10%,0.00%,0.00%,2.60%,7.20%
Oakton Community CollegeAssociate | IL,151,62.30%,1.30%,8.00%,7.30%,4.60%,0.00%,71.50%,0.70%,6.60%,0.00%,21.90%
Southern Regional Technical CollegeAssociate | GA,151,62.90%,0.00%,0.70%,13.30%,0.70%,0.00%,85.40%,0.00%,0.00%,0.00%,14.60%
Pennsylvania State University at AbingtonBaccalaureate | PA,151,53.00%,0.70%,9.90%,5.30%,3.30%,0.00%,68.90%,0.00%,8.60%,3.30%,19.20%
Point Park UniversityMaster's | PA,151,44.40%,0.00%,3.30%,1.30%,3.30%,0.00%,88.70%,2.60%,0.00%,0.70%,10.60%
South Dakota School of Mines and TechnologySpecial-Focus | SD,150,24.00%,1.30%,6.70%,0.70%,1.30%,0.00%,81.30%,0.00%,0.00%,8.70%,10.00%
El Centro CollegeAssociate | TX,150,66.00%,0.70%,5.30%,21.30%,16.00%,0.00%,52.00%,2.00%,2.70%,0.00%,45.30%
Drew UniversityBaccalaureate | NJ,150,46.00%,0.70%,5.30%,8.70%,6.70%,0.00%,64.70%,0.00%,7.30%,6.70%,21.30%
State University of New York College of Technology at DelhiBaccalaureate | NY,150,48.00%,0.00%,3.30%,1.30%,0.70%,0.00%,94.70%,0.00%,0.00%,0.00%,5.30%
Benedictine UniversityDoctoral | IL,150,53.30%,0.00%,8.70%,2.70%,2.00%,0.00%,84.70%,0.00%,2.00%,0.00%,13.30%
Butler Community College (Kan.)Associate | KS,150,56.00%,0.70%,0.70%,1.30%,2.00%,0.00%,92.00%,1.30%,2.00%,0.00%,6.00%
Pulaski Technical CollegeAssociate | AR,150,52.00%,0.00%,2.00%,8.00%,2.00%,0.00%,87.30%,0.00%,0.70%,0.00%,12.00%
U.T.A. Mesivta of Kiryas JoelSpecial-Focus | NY,150,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
Utica CollegeMaster's | NY,149,46.30%,0.00%,4.70%,2.00%,2.70%,0.00%,88.60%,1.30%,0.00%,0.70%,10.70%
Calhoun Community CollegeAssociate | AL,149,56.40%,2.70%,2.00%,13.40%,0.00%,0.00%,76.50%,4.00%,1.30%,0.00%,22.10%
Florida Southern CollegeMaster's | FL,149,49.70%,0.00%,4.00%,6.00%,8.10%,0.00%,79.90%,0.00%,2.00%,0.00%,18.10%
North Central CollegeMaster's | IL,149,49.00%,0.00%,6.00%,1.30%,3.40%,0.00%,81.20%,1.30%,0.70%,6.00%,12.10%
Allegheny CollegeBaccalaureate | PA,148,54.70%,0.00%,3.40%,2.00%,6.10%,1.40%,83.10%,0.00%,0.00%,4.00%,12.80%
Cuesta CollegeAssociate | CA,148,50.00%,1.40%,2.00%,0.70%,13.50%,0.00%,78.40%,0.70%,2.00%,1.40%,18.20%
Irvine Valley CollegeAssociate | CA,148,43.90%,1.40%,9.50%,1.40%,16.20%,6.10%,56.10%,0.70%,5.40%,3.40%,35.10%
Point Loma Nazarene UniversityMaster's | CA,148,46.60%,0.70%,6.10%,3.40%,8.10%,0.70%,77.00%,2.00%,2.00%,0.00%,20.90%
Shasta CollegeAssociate | CA,148,46.00%,0.70%,5.40%,2.70%,8.10%,0.00%,83.10%,0.00%,0.00%,0.00%,16.90%
University of BridgeportMaster's | CT,148,46.00%,0.00%,13.50%,3.40%,2.00%,0.00%,81.10%,0.00%,0.00%,0.00%,18.90%
Hawaii Pacific UniversityMaster's | HI,148,46.60%,2.00%,23.00%,0.70%,4.00%,2.70%,58.80%,3.40%,5.40%,0.00%,35.80%
Southwest Baptist UniversityMaster's | MO,148,50.70%,0.00%,4.70%,0.70%,0.70%,0.00%,91.90%,0.00%,2.00%,0.00%,6.10%
Alfred UniversityMaster's | NY,148,44.60%,0.00%,8.10%,0.70%,1.40%,0.00%,82.40%,1.40%,0.00%,6.10%,11.50%
Canisius CollegeMaster's | NY,148,42.60%,0.70%,0.00%,2.00%,3.40%,6.10%,85.80%,0.70%,0.70%,0.70%,12.80%
Daemen CollegeMaster's | NY,148,65.50%,0.00%,1.40%,2.70%,0.70%,0.00%,94.60%,0.70%,0.00%,0.00%,5.40%
Hamline UniversityMaster's | MN,147,54.40%,0.00%,6.80%,4.10%,1.40%,0.70%,85.70%,1.40%,0.00%,0.00%,14.30%
College of Saint BenedictBaccalaureate | MN,147,51.70%,0.00%,5.40%,0.00%,3.40%,0.70%,90.50%,0.00%,0.00%,0.00%,9.50%
Gaston CollegeAssociate | NC,147,68.00%,0.00%,0.70%,4.10%,0.00%,0.70%,92.50%,0.00%,2.00%,0.00%,5.40%
Lesley UniversityDoctoral | MA,147,66.70%,0.00%,9.50%,5.40%,6.80%,0.00%,75.50%,1.40%,1.40%,0.00%,23.10%
Snow CollegeAssociate | UT,147,36.00%,0.00%,0.70%,0.00%,0.00%,0.70%,96.60%,0.00%,2.00%,0.00%,1.40%
University of MontevalloMaster's | AL,147,49.70%,0.00%,3.40%,7.50%,1.40%,0.00%,87.80%,0.00%,0.00%,0.00%,12.20%
College of San MateoAssociate | CA,147,56.50%,0.70%,19.10%,6.10%,10.90%,0.70%,57.10%,1.40%,3.40%,0.70%,38.80%
Moravian CollegeBaccalaureate | PA,147,59.90%,0.00%,2.00%,2.70%,7.50%,0.00%,86.40%,0.00%,0.00%,1.40%,12.20%
Linfield CollegeBaccalaureate | OR,146,56.90%,1.40%,4.80%,2.70%,3.40%,0.70%,84.90%,0.70%,1.40%,0.00%,13.70%
Susquehanna UniversityBaccalaureate | PA,146,45.90%,0.00%,8.20%,4.80%,6.20%,0.00%,75.30%,2.10%,0.00%,3.40%,21.20%
Nashville State Community CollegeAssociate | TN,146,56.20%,0.70%,1.40%,6.90%,1.40%,0.00%,84.90%,1.40%,0.70%,2.70%,11.60%
Bunker Hill Community CollegeAssociate | MA,146,60.30%,1.40%,13.00%,15.80%,4.10%,0.00%,65.10%,0.70%,0.00%,0.00%,34.90%
San Juan CollegeAssociate | NM,146,47.90%,8.20%,2.10%,2.70%,0.00%,0.00%,76.70%,0.00%,10.30%,0.00%,13.00%
United States Coast Guard AcademyBaccalaureate | CT,146,30.10%,0.70%,5.50%,5.50%,6.20%,0.00%,78.10%,1.40%,2.70%,0.00%,19.20%
Brenau UniversityMaster's | GA,146,70.50%,0.00%,2.10%,11.00%,3.40%,0.00%,82.90%,0.70%,0.00%,0.00%,17.10%
West Valley CollegeAssociate | CA,145,59.30%,0.00%,11.70%,4.10%,16.60%,0.00%,60.00%,0.70%,0.70%,6.20%,33.10%
Saint Mary's College (Ind.)Baccalaureate | IN,145,70.30%,0.00%,6.20%,2.80%,4.10%,0.00%,77.90%,0.00%,3.50%,5.50%,13.10%
Shawnee State UniversityBaccalaureate | OH,145,43.50%,0.70%,2.80%,2.10%,1.40%,0.00%,91.00%,0.00%,1.40%,0.70%,6.90%
Augustana College (S.D.)Baccalaureate | SD,145,51.00%,0.70%,2.80%,0.00%,2.80%,0.00%,92.40%,1.40%,0.00%,0.00%,7.60%
Culinary Institute of AmericaSpecial-Focus | NY,145,31.00%,0.70%,2.10%,0.70%,2.10%,3.50%,84.10%,4.10%,2.80%,0.00%,13.10%
Alcorn State UniversityMaster's | MS,144,47.90%,0.00%,4.90%,63.20%,3.50%,0.70%,16.70%,0.00%,0.00%,11.10%,72.20%
State University of New York Institute of Technology at Utica-RomeMaster's | NY,144,34.00%,0.00%,16.70%,3.50%,4.90%,0.70%,64.60%,0.00%,0.00%,9.70%,25.70%
University of North Carolina School of the ArtsSpecial-Focus | NC,144,36.10%,0.00%,0.70%,4.20%,1.40%,0.00%,88.20%,1.40%,2.80%,1.40%,7.60%
Georgia Highlands CollegeAssociate | GA,144,56.90%,0.70%,4.90%,10.40%,1.40%,0.00%,82.60%,0.00%,0.00%,0.00%,17.40%
University of Mount UnionBaccalaureate | OH,144,47.20%,0.00%,6.30%,4.20%,0.70%,0.70%,84.70%,0.70%,0.70%,2.10%,12.50%
University of Pittsburgh at JohnstownBaccalaureate | PA,144,45.80%,0.00%,7.60%,0.70%,1.40%,0.00%,84.70%,0.00%,2.80%,2.80%,9.70%
Kilgore CollegeAssociate | TX,144,56.30%,0.00%,2.80%,2.10%,4.20%,0.00%,91.00%,0.00%,0.00%,0.00%,9.00%
Regent UniversityDoctoral | VA,144,31.30%,1.40%,2.10%,7.60%,2.10%,0.70%,81.90%,0.70%,0.00%,3.50%,14.60%
West Liberty UniversityBaccalaureate | WV,144,47.20%,0.00%,1.40%,0.00%,0.70%,0.00%,91.70%,0.00%,4.90%,1.40%,2.10%
Los Angeles Film SchoolAssociate | CA,144,25.00%,0.00%,2.10%,11.10%,11.80%,0.70%,61.80%,2.80%,9.70%,0.00%,28.50%
Virginia Military InstituteBaccalaureate | VA,143,32.20%,0.00%,9.80%,2.80%,0.00%,0.00%,87.40%,0.00%,0.00%,0.00%,12.60%
Tacoma Community CollegeAssociate | WA,143,56.60%,0.00%,9.10%,5.60%,2.80%,0.00%,72.00%,7.70%,2.80%,0.00%,25.20%
Wisconsin Indianhead Technical CollegeAssociate | WI,143,59.40%,0.70%,0.00%,0.70%,0.00%,0.00%,97.90%,0.00%,0.70%,0.00%,1.40%
Chandler-Gilbert Community CollegeAssociate | AZ,143,58.70%,0.00%,4.20%,6.30%,14.70%,0.00%,70.60%,0.00%,4.20%,0.00%,25.20%
Montana Tech of the University of MontanaBaccalaureate | MT,143,37.10%,0.00%,5.60%,0.00%,2.80%,0.70%,83.90%,0.00%,0.70%,6.30%,9.10%
State University of New York A&T College at MorrisvilleBaccalaureate | NY,143,44.10%,0.00%,0.70%,4.20%,0.70%,0.00%,92.30%,0.00%,0.00%,2.10%,5.60%
Marywood UniversityMaster's | PA,143,61.50%,0.00%,3.50%,0.70%,1.40%,0.00%,88.10%,0.00%,2.10%,4.20%,5.60%
University of DallasMaster's | TX,143,39.20%,0.70%,1.40%,1.40%,7.70%,0.00%,83.20%,3.50%,2.10%,0.00%,14.70%
Solano Community CollegeAssociate | CA,143,58.70%,0.00%,6.30%,10.50%,9.80%,0.00%,72.70%,0.70%,0.00%,0.00%,27.30%
Jefferson State Community CollegeAssociate | AL,142,62.70%,0.00%,2.80%,16.90%,0.70%,0.00%,76.10%,3.50%,0.00%,0.00%,23.90%
Skyline CollegeAssociate | CA,142,51.40%,0.70%,20.40%,12.00%,14.80%,0.00%,41.50%,1.40%,8.50%,0.70%,49.30%
West Georgia Technical College-Murphy CampusAssociate | GA,142,62.70%,0.00%,0.70%,27.50%,2.80%,0.70%,68.30%,0.00%,0.00%,0.00%,31.70%
Wayland Baptist UniversityMaster's | TX,142,36.60%,1.40%,3.50%,7.80%,4.90%,0.00%,71.10%,2.80%,8.50%,0.00%,20.40%
Moraine Park Technical CollegeAssociate | WI,142,57.00%,0.00%,0.00%,0.70%,0.00%,0.00%,98.60%,0.70%,0.00%,0.00%,1.40%
Berea CollegeBaccalaureate | KY,142,50.00%,0.70%,3.50%,9.90%,2.80%,0.00%,77.50%,1.40%,0.70%,3.50%,18.30%
St. Mary's College of MarylandBaccalaureate | MD,142,47.90%,0.70%,5.60%,4.20%,4.20%,0.00%,81.00%,0.70%,0.00%,3.50%,15.50%
King's College (Pa.)Master's | PA,142,52.10%,0.70%,2.80%,0.00%,0.70%,0.00%,90.80%,0.00%,2.10%,2.80%,4.20%
Mercyhurst UniversityMaster's | PA,142,45.80%,0.70%,1.40%,1.40%,2.80%,0.00%,89.40%,0.00%,0.70%,3.50%,6.30%
Tri-County Technical CollegeAssociate | SC,142,59.90%,0.00%,1.40%,5.60%,2.80%,0.00%,88.00%,0.70%,0.00%,1.40%,10.60%
Wofford CollegeBaccalaureate | SC,142,45.80%,0.00%,2.10%,3.50%,2.10%,0.00%,77.50%,1.40%,13.40%,0.00%,9.20%
Middlesex County CollegeAssociate | NJ,142,49.30%,0.00%,7.80%,2.80%,5.60%,0.00%,83.80%,0.00%,0.00%,0.00%,16.20%
